name,Plan1,Plan2,Plan3,Repeat,Bacteria,Archaea,Eukaryota,Viruses
CiA,Ctenopharyngodon idellus,Herbivorous,C.idellus,1,1310494,14281,18210,2435
CiB,Ctenopharyngodon idellus,Herbivorous,C.idellus,2,977697,6253,13955,10567
CiC,Ctenopharyngodon idellus,Herbivorous,C.idellus,3,1511250,2200,1716,218
CiD,Ctenopharyngodon idellus,Herbivorous,C.idellus,4,1933630,12302,13205,1789
CiE,Ctenopharyngodon idellus,Herbivorous,C.idellus,5,2383598,19856,29041,1998
CiF,Ctenopharyngodon idellus,Herbivorous,C.idellus,6,2824185,23620,16043,1653
HmA,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,1,2582210,12015,122400,861
HmB,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,2,2503125,33772,133601,1061
HmC,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,3,1793290,23974,101555,826
HmD,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,4,1883366,19776,140355,995
HmE,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,5,2622923,41394,184167,1091
HmF,Hypophthalmichthys molitrix,Filter-feeding,H.molitrix,6,2466639,15942,121311,924
MsA,Micropterus salmoides,Carnivorous,M.salmoides,1,1481493,7274,75771,354
MsB,Micropterus salmoides,Carnivorous,M.salmoides,2,3989197,4376,13282,669
MsC,Micropterus salmoides,Carnivorous,M.salmoides,3,773952,1140,4848,66
MsD,Micropterus salmoides,Carnivorous,M.salmoides,4,1625757,10159,102031,194
MsE,Micropterus salmoides,Carnivorous,M.salmoides,5,34645,88,566,22
MsF,Micropterus salmoides,Carnivorous,M.salmoides,6,366538,1222,9353,89
PfA,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,1,2464112,7636,82814,117
PfB,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,2,2868795,3120,16173,55
PfC,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,3,1399209,2890,36383,20
PfD,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,4,4482700,12339,47283,2618
PfE,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,5,7614881,21893,65684,358
PfF,Pelteobagrus fulvidraco,Omnivorous,P.fulvidraco,6,1757948,657,5852,117
ScA,Siniperca chuatsi,Carnivorous,S.chuatsi,1,1316406,1338,3912,689
ScB,Siniperca chuatsi,Carnivorous,S.chuatsi,2,1367023,2791,6101,612
ScC,Siniperca chuatsi,Carnivorous,S.chuatsi,3,977009,430,1058,122
ScD,Siniperca chuatsi,Carnivorous,S.chuatsi,4,1152299,2564,2356,535
ScE,Siniperca chuatsi,Carnivorous,S.chuatsi,5,1510025,764,2977,178
ScF,Siniperca chuatsi,Carnivorous,S.chuatsi,6,1086355,1089,1639,334
